Sample	Location	Region	Het_muskoxmap	estimate
TH-28	TH	CaME	0.00014002	transversions-only
EL012	SIB	SIB	0.00327448	all-CpGfiltered
AH-1	AH	CaIN	0.00011224	all-CpGfiltered
AI-1	AI	CaIS	0.00012792	all-CpGfiltered
BI-1	BI	CaIS	0.00012104	all-CpGfiltered
BI-26	BI	CaIS	0.00011714	all-CpGfiltered
BI-28	BI	CaIS	0.00012437	all-CpGfiltered
BI-30	BI	CaIS	0.000106	all-CpGfiltered
BI-31	BI	CaIS	0.00012027	all-CpGfiltered
BI-32	BI	CaIS	0.00012757	all-CpGfiltered
BI-33	BI	CaIS	0.00013586	all-CpGfiltered
BI-35	BI	CaIS	0.00013134	all-CpGfiltered
BI-36	BI	CaIS	0.00010564	all-CpGfiltered
BI-37	BI	CaIS	0.00013321	all-CpGfiltered
BL-1	BL	CaME	0.00029101	all-CpGfiltered
BL-10	BL	CaME	0.00030026	all-CpGfiltered
BL-11	BL	CaME	0.00031241	all-CpGfiltered
BL-13	BL	CaME	0.00022123	all-CpGfiltered
BL-14	BL	CaME	0.00031505	all-CpGfiltered
BL-15	BL	CaME	0.00028020	all-CpGfiltered
BL-17	BL	CaME	0.00031129	all-CpGfiltered
BL-2	BL	CaME	0.00029401	all-CpGfiltered
BL-20	BL	CaME	0.00031490	all-CpGfiltered
BL-23	BL	CaME	0.00030275	all-CpGfiltered
BL-24	BL	CaME	0.00031251	all-CpGfiltered
BL-4	BL	CaME	0.00030108	all-CpGfiltered
BL-6	BL	CaME	0.00030677	all-CpGfiltered
CH-2	CH	CaME	0.00022568	all-CpGfiltered
CH-3	CH	CaME	0.00022452	all-CpGfiltered
CH-4	CH	CaME	0.00020211	all-CpGfiltered
CH-5	CH	CaME	0.00023884	all-CpGfiltered
CH-6	CH	CaME	0.00028571	all-CpGfiltered
CH-7	CH	CaME	0.0002869	all-CpGfiltered
CH-8	CH	CaME	0.00029250	all-CpGfiltered
CI-1	CI	CaIN	0.00010375	all-CpGfiltered
CI-5	CI	CaIS	0.00013787	all-CpGfiltered
CI-6	CI	CaIS	0.00016129	all-CpGfiltered
CI-8	CI	CaIN	0.00009091	all-CpGfiltered
CM-1	CM	CaIS	0.0001044	all-CpGfiltered
CM-2	CM	CaIS	0.00011507	all-CpGfiltered
DI-16	DI	CaIN	0.00007449	all-CpGfiltered
DI-2	DI	CaIN	0.00018191	all-CpGfiltered
DI-3	DI	CaIN	0.00009827	all-CpGfiltered
DI-4	DI	CaIN	0.00007766	all-CpGfiltered
DI-5	DI	CaIN	0.00007654	all-CpGfiltered
DI-7	DI	CaIN	0.00006801	all-CpGfiltered
EI-23	EI	CaIN	0.00009562	all-CpGfiltered
EI-26	EI	CaIN	0.0000972	all-CpGfiltered
EI-28	EI	CaIN	0.00008596	all-CpGfiltered
EU-1	EU	CaIN	0.00010080	all-CpGfiltered
EU-12	EU	CaIN	0.00010643	all-CpGfiltered
EU-15	EU	CaIN	0.00009704	all-CpGfiltered
EU-19	EU	CaIN	0.0000881	all-CpGfiltered
EU-7	EU	CaIN	0.00009464	all-CpGfiltered
FR-2	FR	CaIN	0.00011225	all-CpGfiltered
GF-1	GF	CaIN	0.00008669	all-CpGfiltered
GF-14	GF	CaIN	0.00009474	all-CpGfiltered
GF-15	GF	CaIN	0.00008142	all-CpGfiltered
GF-19	GF	CaIN	0.00011461	all-CpGfiltered
GF-2	GF	CaIN	0.00007710	all-CpGfiltered
GF-4	GF	CaIN	0.00009582	all-CpGfiltered
GF-5	GF	CaIN	0.00007894	all-CpGfiltered
HD-1	HD	GrES	0.00002186	all-CpGfiltered
HD-2	HD	GrES	0.0000218	all-CpGfiltered
HD-3	HD	GrES	0.0000265	all-CpGfiltered
HD-5	HD	GrES	0.00002519	all-CpGfiltered
JA-1	JA	GrES	0.00003029	all-CpGfiltered
JA-2	JA	GrES	0.00003333	all-CpGfiltered
JA-4	JA	GrES	0.00003187	all-CpGfiltered
KU-11	KU	CaMW	0.00024882	all-CpGfiltered
KU-12	KU	CaMW	0.00025662	all-CpGfiltered
KU-13	KU	CaMW	0.00027062	all-CpGfiltered
KU-16	KU	CaMW	0.00024978	all-CpGfiltered
KU-18	KU	CaMW	0.000237	all-CpGfiltered
KU-2	KU	CaMW	0.00025521	all-CpGfiltered
KU-21	KU	CaMW	0.00026059	all-CpGfiltered
KU-23	KU	CaMW	0.0002487	all-CpGfiltered
KU-25	KU	CaMW	0.00026357	all-CpGfiltered
KU-27	KU	CaMW	0.00026304	all-CpGfiltered
KU-31	KU	CaMW	0.00023399	all-CpGfiltered
KU-32	KU	CaMW	0.00019801	all-CpGfiltered
KU-33	KU	CaMW	0.00022372	all-CpGfiltered
KU-39	KU	CaMW	0.00024419	all-CpGfiltered
KU-4	KU	CaMW	0.00025685	all-CpGfiltered
MO23	ZA	GrEN	0.00003035	all-CpGfiltered
MO25	ZA	GrEN	0.00003835	all-CpGfiltered
MO27	ZA	GrEN	0.00003642	all-CpGfiltered
MO28	ZA	GrEN	0.00003508	all-CpGfiltered
MO29	ZA	GrEN	0.00004135	all-CpGfiltered
MO30	ZA	GrEN	0.00003112	all-CpGfiltered
MO32	ZA	GrEN	0.00003888	all-CpGfiltered
MO33	ZA	GrEN	0.00004230	all-CpGfiltered
MO34	ZA	GrEN	0.00003919	all-CpGfiltered
MO35	ZA	GrEN	0.00004015	all-CpGfiltered
MO41	ZA	GrEN	0.00003907	all-CpGfiltered
MO42	ZA	GrEN	0.00003829	all-CpGfiltered
MO43	ZA	GrEN	0.00003727	all-CpGfiltered
MO44	ZA	GrEN	0.00003713	all-CpGfiltered
MO45	ZA	GrEN	0.00003806	all-CpGfiltered
MO46	ZA	GrEN	0.00003995	all-CpGfiltered
MO47	ZA	GrEN	0.00003306	all-CpGfiltered
MO48	ZA	GrEN	0.00003449	all-CpGfiltered
MO49	ZA	GrEN	0.00003677	all-CpGfiltered
MO50	ZA	GrEN	0.00003661	all-CpGfiltered
RY-3	RY	GrN	0.00006762	all-CpGfiltered
SF-1	SF	CaIN	0.00011969	all-CpGfiltered
SF-3	SF	CaIN	0.00010604	all-CpGfiltered
TH-27	TH	CaME	0.00031176	all-CpGfiltered
TH-28	TH	CaME	0.00043599	all-CpGfiltered
EL012	SIB	SIB	0.004313781	all
AH-1	AH	CaIN	0.000130393	all
AI-1	AI	CaIS	0.000148713	all
BI-1	BI	CaIS	0.000140827	all
BI-26	BI	CaIS	0.000135815	all
